booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100010,711,Customer_711,Corporate,2023-05-28,Chennai,None,36,Amber Haven,Bangalore,4,Premium,150,2024-02-17,2024-02-19,2024-02-24,Deluxe,2,5,Travel Agent,12468.02,0.0,NONE,124680.2,Debit Card,Completed,,
100011,93,Customer_93,Individual,2022-01-27,Delhi,Silver,1,The Grand Plaza,Kochi,5,Premium,60,2024-08-30,2024-09-06,2024-09-07,Deluxe,1,1,Travel Agent,8544.92,942.76,SAVE10,7602.16,Debit Card,Completed,2.0,2024-09-13
100012,402,Customer_402,Individual,2023-04-01,Pune,None,23,Sapphire Retreat,Goa,2,Luxury,60,2023-10-20,2024-01-18,2024-01-19,Standard,1,1,Corporate Portal,27576.18,4150.09,SAVE10,23426.09,Net Banking,Completed,5.0,2024-01-22
100013,674,Customer_674,Group,2023-11-25,Bangalore,None,22,Banyan Stay,Manali,2,Budget,30,2024-12-03,2024-12-18,2024-12-22,Standard,4,4,Direct Website,2181.22,0.0,,34899.52,Credit Card,Cancelled,,
100014,253,Customer_253,Individual,2023-04-16,Chennai,Silver,5,Hilltop Inn,Chennai,5,Budget,60,2024-01-28,2024-01-30,2024-02-01,Deluxe,1,2,Corporate Portal,3178.5,0.0,NONE,6357.0,UPI,Completed,,
100015,142,Customer_142,Corporate,2022-02-07,Manali,None,37,Olive Lodge,Udaipur,3,Budget,40,2024-10-30,2024-11-24,2024-11-27,Deluxe,2,3,OTA,4233.3,0.0,,25399.8,Debit Card,Completed,6.0,2024-12-16
100016,270,Customer_270,Individual,2022-01-27,Bangalore,Gold,14,Pearl Haven,Pune,3,Budget,120,2023-12-30,2024-02-28,2024-03-01,Deluxe,1,2,Corporate Portal,2665.44,461.09,WELCOME,4869.79,Net Banking,Cancelled,,
100017,724,Customer_724,Individual,2023-01-31,Pune,Silver,9,Crimson Retreat,Udaipur,5,Mid-Range,80,2024-01-28,2024-02-04,2024-02-06,Deluxe,1,2,OTA,8652.15,0.0,NONE,17304.3,UPI,Cancelled,,
100018,594,Customer_594,Individual,2023-09-02,Jaipur,None,15,Lotus Haven,Bangalore,3,Mid-Range,80,2024-04-04,2024-04-19,2024-04-21,Deluxe,1,2,OTA,5718.16,0.0,,11436.32,Net Banking,Completed,,
100019,557,Customer_557,Individual,2023-01-02,Chennai,None,32,Saffron Palace,Pune,5,Mid-Range,30,2024-09-11,2024-09-13,2024-09-18,Standard,1,5,OTA,4673.12,0.0,NONE,23365.6,Net Banking,Completed,,
100020,706,Customer_706,Group,2022-05-08,Goa,Silver,47,Indigo Stay,Mumbai,4,Mid-Range,80,2023-12-21,2024-01-15,2024-01-22,Standard,3,7,Corporate Portal,6275.03,23880.36,SAVE10,107895.27,UPI,Completed,,
100021,481,Customer_481,Individual,2023-08-31,Jaipur,None,18,Coral Haven,Pune,4,Mid-Range,150,2024-10-09,2024-10-16,2024-10-20,Deluxe,1,4,OTA,7420.96,5382.24,SAVE10,24301.6,Credit Card,Completed,,
100022,68,Customer_68,Group,2022-12-12,Pune,None,18,Coral Haven,Pune,4,Mid-Range,150,2024-05-08,2024-05-10,2024-05-17,Standard,2,7,OTA,3541.5,10417.91,APPDEAL,39163.09,Net Banking,Completed,4.0,2024-05-25
100023,617,Customer_617,Corporate,2022-03-17,Jaipur,None,35,Maple Retreat,Bangalore,2,Premium,100,2024-07-31,2024-08-25,2024-08-27,Standard,2,2,Corporate Portal,7596.87,0.0,NONE,30387.48,Net Banking,Completed,6.0,2024-09-02
100024,526,Customer_526,Individual,2022-09-16,Goa,Gold,28,Indigo Retreat,Kochi,4,Budget,200,2023-12-11,2024-01-20,2024-01-27,Standard,1,7,Travel Agent,2152.36,1871.79,SAVE10,13194.73,UPI,Completed,,
100025,46,Customer_46,Individual,2022-03-29,Delhi,Gold,33,Marigold Courtyard,Mumbai,4,Mid-Range,100,2024-10-03,2024-12-02,2024-12-04,Standard,1,2,Direct Website,5495.84,0.0,NONE,10991.68,Net Banking,Completed,,
100026,263,Customer_263,Group,2022-03-22,Manali,Silver,34,Velvet Palace,Pune,2,Premium,150,2024-06-15,2024-08-14,2024-08-16,Standard,3,2,Travel Agent,8144.66,0.0,,48867.96,Credit Card,Completed,2.0,2024-08-17
100027,773,Customer_773,Individual,2022-05-02,Jaipur,Silver,51,Olive Courtyard,Mumbai,5,Premium,60,2024-03-26,2024-04-10,2024-04-12,Standard,1,2,OTA,12033.61,0.0,NONE,24067.22,UPI,Cancelled,,
100028,646,Customer_646,Individual,2022-06-25,Chennai,None,22,Banyan Stay,Manali,2,Budget,30,2024-11-15,2024-11-17,2024-11-20,Suite,1,3,OTA,4594.07,2062.0,SAVE10,11720.21,UPI,No-Show,,
100029,724,Customer_724,Individual,2023-01-31,Pune,Silver,41,Marigold Residency,Pune,4,Mid-Range,60,2024-10-26,2024-11-20,2024-11-24,Standard,1,4,OTA,4044.37,0.0,,16177.48,UPI,Completed,3.0,2024-12-02
100030,526,Customer_526,Individual,2022-09-16,Goa,Gold,17,Indigo Palace,Udaipur,3,Budget,100,2024-01-08,2024-01-10,2024-01-13,Standard,1,3,Travel Agent,3738.93,0.0,NONE,11216.79,UPI,Completed,2.0,2024-01-29
100031,467,Customer_467,Individual,2022-11-15,Goa,None,30,Ivory Retreat,Jaipur,5,Budget,60,2024-03-02,2024-03-09,2024-03-11,Deluxe,1,2,Direct Website,2983.89,0.0,NONE,5967.78,Debit Card,Completed,,
100032,360,Customer_360,Group,2022-04-28,Kochi,None,24,Banyan Retreat,Bangalore,2,Budget,40,2024-08-16,2024-11-14,2024-11-17,Standard,2,3,Direct Website,2733.89,0.0,NONE,16403.34,Debit Card,Completed,,
100033,591,Customer_591,Individual,2023-05-18,Kochi,None,15,Lotus Haven,Bangalore,3,Mid-Range,80,2024-04-16,2024-04-18,2024-04-22,Standard,1,4,Direct Website,4638.28,0.0,NONE,18553.12,Net Banking,Completed,,
100034,384,Customer_384,Group,2022-07-26,Udaipur,Silver,52,Crimson Manor,Pune,4,Budget,40,2024-07-16,2024-07-23,2024-07-24,Deluxe,4,1,OTA,2453.12,1744.28,APPDEAL,8068.2,Credit Card,Cancelled,,
100035,717,Customer_717,Group,2022-03-02,Mumbai,Gold,25,Tusker Stay,Pune,2,Mid-Range,60,2024-01-17,2024-02-01,2024-02-04,Suite,4,3,Travel Agent,8703.93,7715.48,FEST15,96731.68,Debit Card,Completed,,
100036,82,Customer_82,Corporate,2022-07-11,Delhi,None,25,Tusker Stay,Pune,2,Mid-Range,60,2024-02-11,2024-03-07,2024-03-12,Deluxe,2,5,Corporate Portal,6471.98,0.0,,64719.8,Debit Card,Completed,,
100037,581,Customer_581,Corporate,2022-11-04,Delhi,None,36,Amber Haven,Bangalore,4,Premium,150,2024-04-18,2024-04-25,2024-04-30,Standard,1,5,Corporate Portal,8314.14,0.0,,41570.7,Net Banking,No-Show,,
100038,205,Customer_205,Individual,2022-04-04,Chennai,Silver,39,Saffron Manor,Mumbai,4,Budget,120,2024-04-07,2024-05-17,2024-05-20,Standard,1,3,Travel Agent,3446.48,0.0,,10339.44,Credit Card,Completed,4.0,2024-05-28
100039,273,Customer_273,Individual,2023-11-11,Manali,None,27,Saffron Residency,Pune,3,Mid-Range,80,2024-05-04,2024-05-06,2024-05-09,Deluxe,1,3,Travel Agent,6090.46,0.0,NONE,18271.38,Debit Card,Completed,5.0,2024-05-17
100040,707,Customer_707,Individual,2023-05-23,Pune,None,36,Amber Haven,Bangalore,4,Premium,150,2024-08-08,2024-09-17,2024-09-19,Standard,1,2,OTA,7052.31,3572.51,FEST15,10532.11,UPI,Completed,4.0,2024-09-29
100041,20,Customer_20,Individual,2023-02-07,Goa,Silver,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2024-10-24,2024-10-26,2024-10-28,Deluxe,1,2,Corporate Portal,6815.68,0.0,NONE,13631.36,Credit Card,Completed,1.0,2024-11-12
100042,131,Customer_131,Corporate,2022-11-28,Udaipur,None,11,Coral Palace,Mumbai,3,Premium,100,2024-01-20,2024-02-04,2024-02-07,Deluxe,2,3,Corporate Portal,13724.78,0.0,,82348.68,Debit Card,Completed,,
100043,640,Customer_640,Individual,2023-12-20,Bangalore,None,37,Olive Lodge,Udaipur,3,Budget,40,2024-07-08,2024-10-06,2024-10-09,Deluxe,1,3,OTA,4219.45,0.0,,12658.35,Credit Card,Cancelled,,
100044,68,Customer_68,Group,2022-12-12,Pune,None,25,Tusker Stay,Pune,2,Mid-Range,60,2024-10-04,2024-10-29,2024-11-02,Deluxe,2,4,OTA,5934.37,0.0,NONE,47474.96,Net Banking,Completed,,
100045,538,Customer_538,Corporate,2023-07-30,Jaipur,Gold,7,Royal Orchid,Chennai,4,Budget,80,2024-03-23,2024-04-17,2024-04-19,Standard,1,2,Corporate Portal,2441.62,482.07,SAVE10,4401.17,Debit Card,Cancelled,,
100046,72,Customer_72,Corporate,2022-12-17,Bangalore,None,35,Maple Retreat,Bangalore,2,Premium,100,2024-01-31,2024-04-30,2024-05-02,Standard,2,2,OTA,7902.41,0.0,NONE,31609.64,Net Banking,Completed,9.0,2024-05-16
100047,353,Customer_353,Individual,2023-11-29,Chennai,Gold,14,Pearl Haven,Pune,3,Budget,120,2024-07-12,2024-09-10,2024-09-13,Deluxe,1,3,Direct Website,2975.29,0.0,NONE,8925.87,UPI,Completed,,
100048,562,Customer_562,Individual,2023-09-22,Chennai,Gold,38,Crimson Courtyard,Manali,3,Mid-Range,40,2024-07-14,2024-07-16,2024-07-20,Suite,1,4,OTA,7788.27,0.0,NONE,31153.08,Credit Card,Completed,5.0,2024-07-25
100049,404,Customer_404,Corporate,2023-02-15,Manali,Gold,25,Tusker Stay,Pune,2,Mid-Range,60,2024-03-02,2024-03-09,2024-03-13,Deluxe,1,4,Corporate Portal,5843.87,0.0,NONE,23375.48,Net Banking,Completed,,
100050,335,Customer_335,Group,2022-03-22,Delhi,Gold,21,Cedar Retreat,Chennai,3,Mid-Range,30,2024-10-06,2024-12-05,2024-12-07,Standard,2,2,OTA,4919.11,0.0,,19676.44,Credit Card,Completed,,
100051,623,Customer_623,Individual,2023-04-09,Chennai,None,49,Mango Retreat,Delhi,3,Mid-Range,100,2024-05-13,2024-07-12,2024-07-14,Deluxe,1,2,Corporate Portal,6715.01,0.0,,13430.02,Net Banking,Completed,,
100052,342,Customer_342,Individual,2023-12-14,Delhi,None,19,Marigold Palace,Delhi,4,Mid-Range,60,2024-01-11,2024-04-10,2024-04-11,Deluxe,1,1,OTA,6590.4,849.01,SAVE10,5741.39,Credit Card,Completed,,
100053,530,Customer_530,Individual,2022-08-31,Bangalore,Platinum,39,Saffron Manor,Mumbai,4,Budget,120,2024-02-14,2024-02-21,2024-02-25,Deluxe,1,4,Corporate Portal,4677.37,0.0,NONE,18709.48,Credit Card,Completed,,
100054,404,Customer_404,Corporate,2023-02-15,Manali,Gold,8,Royal Orchid,Goa,5,Luxury,120,2024-03-21,2024-04-05,2024-04-08,Standard,2,3,Corporate Portal,21504.5,0.0,,129027.0,Credit Card,Completed,,
100055,723,Customer_723,Individual,2023-01-06,Goa,None,16,Banyan Residency,Delhi,3,Budget,60,2024-04-22,2024-05-07,2024-05-10,Standard,0,3,OTA,2505.28,960.13,WELCOME,0.0,Debit Card,Completed,,
100056,249,Customer_249,Individual,2023-01-09,Delhi,Silver,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2024-02-11,2024-03-22,2024-03-25,Standard,1,3,Direct Website,4804.43,0.0,NONE,14413.29,Net Banking,Completed,,
100057,614,Customer_614,Individual,2022-08-05,Delhi,None,42,Coral Suites,Chennai,2,Budget,150,2023-12-28,2024-01-12,2024-01-16,Deluxe,1,4,OTA,3318.98,0.0,,13275.92,Debit Card,Cancelled,,
100058,289,Customer_289,Individual,2023-08-20,Delhi,None,14,Pearl Haven,Pune,3,Budget,120,2024-09-18,2024-11-17,2024-11-20,Deluxe,1,3,Direct Website,3346.38,0.0,NONE,10039.14,Credit Card,No-Show,,
100059,635,Customer_635,Corporate,2023-11-15,Goa,Silver,2,The Grand Plaza,Bangalore,5,Luxury,80,2024-12-09,2024-12-16,2024-12-19,Standard,2,3,Corporate Portal,12558.93,0.0,,75353.58,Debit Card,Completed,,
100060,428,Customer_428,Group,2023-05-08,Chennai,Gold,41,Marigold Residency,Pune,4,Mid-Range,60,2024-02-27,2024-02-29,2024-03-03,Deluxe,4,3,OTA,5411.84,8752.6,FEST15,56189.48,Credit Card,Cancelled,,
100061,120,Customer_120,Individual,2022-03-27,Manali,None,14,Pearl Haven,Pune,3,Budget,120,2024-06-26,2024-07-03,2024-07-05,Deluxe,1,2,Direct Website,2560.09,0.0,NONE,5120.18,UPI,Completed,5.0,2024-07-09
100062,312,Customer_312,Individual,2023-08-31,Goa,Gold,16,Banyan Residency,Delhi,3,Budget,60,2024-08-29,2024-10-08,2024-10-11,Deluxe,1,3,Travel Agent,4024.09,0.0,NONE,12072.27,Debit Card,Completed,5.0,2024-10-21
100063,480,Customer_480,Individual,2022-05-24,Mumbai,None,31,Azure Residency,Udaipur,2,Premium,150,2023-12-04,2024-02-02,2024-02-04,Suite,1,2,Travel Agent,21519.22,6111.84,SAVE10,36926.6,Credit Card,Completed,,
100064,725,Customer_725,Individual,2022-05-31,Bangalore,None,1,The Grand Plaza,Kochi,5,Premium,60,2024-09-08,2024-09-15,2024-09-17,Standard,1,2,Corporate Portal,6129.55,0.0,,12259.1,Net Banking,Completed,1.0,2024-10-03
100065,229,Customer_229,Individual,2022-07-09,Bangalore,Silver,14,Pearl Haven,Pune,3,Budget,120,2024-02-18,2024-04-18,2024-04-19,Standard,1,1,OTA,2164.3,0.0,NONE,2164.3,UPI,Completed,4.0,2024-05-01
100066,721,Customer_721,Individual,2022-07-05,Manali,None,37,Olive Lodge,Udaipur,3,Budget,40,2024-08-05,2024-08-20,2024-08-23,Suite,1,3,OTA,5299.27,0.0,,15897.81,Debit Card,Completed,4.0,2024-09-04
100067,26,Customer_26,Individual,2022-04-29,Manali,Silver,32,Saffron Palace,Pune,5,Mid-Range,30,2024-12-01,2024-12-16,2024-12-18,Deluxe,1,2,Corporate Portal,6091.32,0.0,,12182.64,Credit Card,Completed,3.0,2025-01-05
100068,728,Customer_728,Individual,2022-05-09,Delhi,None,49,Mango Retreat,Delhi,3,Mid-Range,100,2024-10-28,2024-11-12,2024-11-17,Deluxe,1,5,Direct Website,8233.51,0.0,NONE,41167.55,Net Banking,Completed,,
100069,170,Customer_170,Individual,2022-06-11,Manali,None,16,Banyan Residency,Delhi,3,Budget,60,2024-07-12,2024-07-14,2024-07-18,Deluxe,1,4,Travel Agent,4131.53,0.0,,16526.12,UPI,Completed,,
100070,231,Customer_231,Group,2022-03-12,Goa,Gold,47,Indigo Stay,Mumbai,4,Mid-Range,80,2024-06-17,2024-07-02,2024-07-06,Suite,2,4,Direct Website,11939.33,0.0,,95514.64,Credit Card,Completed,4.0,2024-07-16
100071,332,Customer_332,Corporate,2022-05-27,Delhi,Gold,58,Velvet Stay,Jaipur,3,Premium,60,2024-04-08,2024-04-15,2024-04-22,Deluxe,1,7,Corporate Portal,9471.98,4868.98,WELCOME,61434.88,Credit Card,Cancelled,,
100072,375,Customer_375,Individual,2022-04-16,Bangalore,None,14,Pearl Haven,Pune,3,Budget,120,2024-05-05,2024-05-12,2024-05-13,Standard,1,1,Travel Agent,2248.64,425.07,APPDEAL,1823.57,Net Banking,Completed,,
100073,1,Customer_1,Individual,2022-02-04,Jaipur,Silver,46,Coral Manor,Kochi,4,Budget,80,2021-10-22,2024-05-25,2024-05-26,Standard,1,1,Corporate Portal,2044.52,0.0,,2044.52,Net Banking,Cancelled,,
100074,535,Customer_535,Individual,2022-04-07,Manali,Gold,38,Crimson Courtyard,Manali,3,Mid-Range,40,2024-08-21,2024-08-28,2024-08-30,Deluxe,1,2,Corporate Portal,5889.22,0.0,,11778.44,UPI,Completed,5.0,2024-09-17
100075,617,Customer_617,Corporate,2022-03-17,Jaipur,None,16,Banyan Residency,Delhi,3,Budget,60,2024-06-17,2024-07-12,2024-07-14,Standard,3,2,Corporate Portal,2721.01,0.0,NONE,16326.06,Credit Card,Cancelled,,
100076,168,Customer_168,Individual,2023-12-31,Manali,Silver,45,Cedar Heights,Udaipur,3,Budget,120,2024-11-08,2024-11-23,2024-11-27,Deluxe,1,4,OTA,4299.21,0.0,NONE,17196.84,UPI,No-Show,,
100077,51,Customer_51,Individual,2022-07-20,Mumbai,Silver,10,Lotus Manor,Manali,4,Mid-Range,150,2024-02-22,2024-02-24,2024-02-25,Deluxe,1,1,Corporate Portal,5426.55,0.0,,5426.55,Debit Card,Completed,5.0,2024-03-16
100078,799,Customer_799,Corporate,2023-08-20,Goa,Silver,2,The Grand Plaza,Bangalore,5,Luxury,80,2024-06-15,2024-06-22,2024-06-24,Deluxe,3,2,Corporate Portal,21770.71,11874.96,SAVE10,118749.3,UPI,Completed,9.0,2024-06-28
100079,799,Customer_799,Corporate,2023-08-20,Goa,Silver,1,The Grand Plaza,Kochi,5,Premium,60,2024-09-28,2024-10-23,2024-10-24,Standard,2,1,Travel Agent,8657.95,0.0,NONE,17315.9,Credit Card,Completed,,
100080,543,Customer_543,Individual,2022-07-29,Pune,Silver,5,Hilltop Inn,Chennai,5,Budget,60,2024-09-23,2024-09-30,2024-10-01,Standard,1,1,Direct Website,2417.33,0.0,NONE,2417.33,Debit Card,Completed,4.0,2024-10-06
100081,56,Customer_56,Corporate,2023-10-09,Delhi,None,13,Tusker Palace,Goa,5,Mid-Range,80,2024-08-29,2024-08-31,2024-09-03,Suite,1,3,Travel Agent,6957.38,0.0,NONE,20872.14,Debit Card,Cancelled,,
100082,337,Customer_337,Individual,2022-11-05,Delhi,Platinum,20,Banyan Heights,Chennai,2,Mid-Range,80,2024-11-25,2024-12-10,2024-12-14,Standard,1,4,Direct Website,4282.23,0.0,NONE,17128.92,UPI,Completed,,
100083,750,Customer_750,Individual,2022-12-21,Bangalore,Silver,18,Coral Haven,Pune,4,Mid-Range,150,2023-12-08,2024-03-07,2024-03-09,Standard,1,2,OTA,3850.81,0.0,NONE,7701.62,UPI,Completed,4.0,2024-03-22
100084,290,Customer_290,Group,2023-04-07,Chennai,Platinum,10,Lotus Manor,Manali,4,Mid-Range,150,2024-01-02,2024-01-17,2024-01-20,Standard,4,3,Travel Agent,5479.5,0.0,,65754.0,Credit Card,Completed,4.0,2024-01-25
100085,486,Customer_486,Individual,2023-02-18,Kochi,None,39,Saffron Manor,Mumbai,4,Budget,120,2024-07-31,2024-08-07,2024-08-11,Deluxe,1,4,Direct Website,3748.85,1496.54,APPDEAL,13498.86,Debit Card,Completed,5.0,2024-08-28
100086,341,Customer_341,Individual,2023-10-04,Udaipur,Silver,6,Hilltop Inn,Udaipur,5,Luxury,60,2024-05-14,2024-05-29,2024-06-02,Deluxe,1,4,Corporate Portal,21781.94,0.0,,87127.76,Debit Card,Completed,,
100087,484,Customer_484,Individual,2023-10-22,Udaipur,None,53,Saffron Heights,Chennai,3,Luxury,150,2024-11-15,2024-11-22,2024-11-24,Suite,1,2,OTA,34650.65,0.0,,69301.3,Credit Card,Completed,,
100088,326,Customer_326,Corporate,2023-12-21,Kochi,Gold,46,Coral Manor,Kochi,4,Budget,80,2024-09-10,2024-09-12,2024-09-14,Standard,2,2,Corporate Portal,2106.89,0.0,NONE,8427.56,Credit Card,Completed,6.0,2024-09-27
100089,39,Customer_39,Individual,2023-01-15,Delhi,None,6,Hilltop Inn,Udaipur,5,Luxury,60,2024-02-24,2024-03-10,2024-03-13,Standard,1,3,OTA,15646.56,0.0,,46939.68,Net Banking,Completed,3.0,2024-03-24
100090,234,Customer_234,Individual,2022-09-29,Mumbai,None,56,Velvet Heights,Bangalore,5,Premium,60,2024-05-09,2024-06-18,2024-06-22,Standard,1,4,Corporate Portal,7387.92,1991.26,APPDEAL,27560.42,UPI,Completed,,
100091,141,Customer_141,Group,2023-05-27,Goa,Gold,48,Amber Manor,Chennai,3,Premium,100,2024-04-29,2024-06-28,2024-07-03,Standard,2,5,OTA,7183.61,0.0,,71836.1,Net Banking,Completed,,
100092,320,Customer_320,Individual,2023-05-16,Chennai,Silver,4,Sea Breeze Resort,Goa,4,Mid-Range,80,2023-11-22,2024-01-21,2024-01-22,Standard,1,1,OTA,7953.3,0.0,,7953.3,Credit Card,Completed,5.0,2024-02-06
100093,482,Customer_482,Corporate,2022-03-03,Jaipur,Silver,36,Amber Haven,Bangalore,4,Premium,150,2024-10-18,2024-11-02,2024-11-06,Standard,2,4,Corporate Portal,8247.47,0.0,NONE,65979.76,Debit Card,Completed,9.0,2024-11-26
100094,733,Customer_733,Individual,2023-07-21,Pune,Silver,15,Lotus Haven,Bangalore,3,Mid-Range,80,2024-06-18,2024-09-16,2024-09-19,Deluxe,1,3,Corporate Portal,6799.78,2205.2,FEST15,18194.14,Credit Card,Completed,5.0,2024-10-04
100095,578,Customer_578,Corporate,2022-12-09,Mumbai,Silver,24,Banyan Retreat,Bangalore,2,Budget,40,2024-06-07,2024-06-22,2024-06-25,Deluxe,2,3,OTA,2949.05,0.0,NONE,17694.3,Credit Card,Completed,7.0,2024-07-13
100096,684,Customer_684,Corporate,2023-06-10,Udaipur,None,32,Saffron Palace,Pune,5,Mid-Range,30,2024-04-24,2024-05-19,2024-05-21,Suite,2,2,Travel Agent,8108.92,0.0,,32435.68,UPI,Cancelled,,
100097,223,Customer_223,Individual,2022-01-03,Delhi,Gold,24,Banyan Retreat,Bangalore,2,Budget,40,2024-11-13,2024-11-28,2024-11-30,Standard,1,2,Direct Website,2522.76,629.91,WELCOME,4415.61,Debit Card,Completed,,
100098,144,Customer_144,Corporate,2023-03-13,Jaipur,None,21,Cedar Retreat,Chennai,3,Mid-Range,30,2024-06-08,2024-06-15,2024-06-18,Deluxe,1,3,Direct Website,5721.28,2840.66,SAVE10,14323.18,Credit Card,Completed,,
100099,560,Customer_560,Individual,2023-08-10,Pune,Silver,31,Azure Residency,Udaipur,2,Premium,150,2024-03-08,2024-04-02,2024-04-03,Suite,1,1,Direct Website,19478.28,0.0,NONE,19478.28,Credit Card,Completed,3.0,2024-04-14
100100,234,Customer_234,Individual,2022-09-29,Mumbai,None,4,Sea Breeze Resort,Goa,4,Mid-Range,80,2024-03-12,2024-03-19,2024-03-20,Suite,1,1,Travel Agent,14191.58,0.0,,14191.58,Net Banking,Completed,,
100101,73,Customer_73,Group,2023-07-08,Chennai,None,40,Mango Lodge,Bangalore,3,Mid-Range,40,2024-05-22,2024-05-29,2024-05-31,Suite,0,2,Corporate Portal,9289.49,0.0,NONE,0.0,Debit Card,Completed,5.0,2024-06-14
100102,312,Customer_312,Individual,2023-08-31,Goa,Gold,20,Banyan Heights,Chennai,2,Mid-Range,80,2024-09-28,2024-10-13,2024-10-17,Deluxe,1,4,Travel Agent,7946.67,3551.53,FEST15,28235.15,UPI,Completed,3.0,2024-10-26
100103,650,Customer_650,Individual,2022-11-08,Chennai,None,55,Emerald Manor,Pune,2,Budget,80,2024-06-15,2024-06-17,2024-06-18,Deluxe,1,1,OTA,2889.45,0.0,,2889.45,Net Banking,Cancelled,,
100104,248,Customer_248,Individual,2022-01-06,Jaipur,Gold,54,Olive Heights,Delhi,5,Budget,100,2024-10-08,2024-10-15,2024-10-20,Standard,1,5,Direct Website,2971.71,0.0,NONE,14858.55,Net Banking,Completed,1.0,2024-11-07
100105,247,Customer_247,Individual,2022-04-13,Pune,Silver,49,Mango Retreat,Delhi,3,Mid-Range,100,2024-10-14,2024-10-21,2024-10-25,Suite,1,4,Corporate Portal,11130.71,0.0,,44522.84,Credit Card,Cancelled,,
100106,262,Customer_262,Individual,2023-05-01,Manali,Gold,24,Banyan Retreat,Bangalore,2,Budget,40,2024-05-15,2024-05-22,2024-05-26,Deluxe,1,4,OTA,2685.29,0.0,NONE,10741.16,Net Banking,Completed,5.0,2024-06-01
100107,578,Customer_578,Corporate,2022-12-09,Mumbai,Silver,31,Azure Residency,Udaipur,2,Premium,150,2024-07-26,2024-08-02,2024-08-04,Standard,1,2,Corporate Portal,9042.16,2011.36,FEST15,16072.96,Credit Card,Cancelled,,
100108,789,Customer_789,Individual,2023-08-16,Pune,None,15,Lotus Haven,Bangalore,3,Mid-Range,80,2024-11-04,2024-11-19,2024-11-21,Standard,1,2,OTA,5566.4,2451.06,APPDEAL,8681.74,UPI,Completed,4.0,2024-11-24
100109,623,Customer_623,Individual,2023-04-09,Chennai,None,47,Indigo Stay,Mumbai,4,Mid-Range,80,2024-10-05,2024-11-14,2024-11-21,Standard,1,7,OTA,6789.86,7161.68,SAVE10,40367.34,UPI,Cancelled,,
